startyear,primarytitle,genres,averagerating,numvotes,runtimeminutes
1955,The Counterfeit Coin,"Comedy,Drama,Romance",8.6,2178,127
1957,Maya Bazaar,"Comedy,Drama,Family",9.2,3261,192
1962,Gundamma Katha,"Comedy,Drama",8.8,1018,166
1962,"Me, Grandma, Iliko and Ilarion","Comedy,Romance",8.7,795,90
1963,Tis kakomoiras,Comedy,8.8,1916,96
1965,Titanic Waltz,Comedy,8.6,353,92
1965,The Corporal and Others,"Comedy,War",8.6,1882,111
1965,Operation 'Y' & Other Shurik's Adventures,"Comedy,Crime,Romance",8.6,10528,95
1969,The Adventures of Goopy and Bagha,"Adventure,Comedy,Family",8.8,1802,132
1969,The Witness,"Comedy,Drama",8.6,5461,105
1970,One Song a Day Takes Mischief Away,"Comedy,Drama,Musical",8.6,1789,85
1970,Brigada Diverse intrã în actiune,Comedy,8.7,1490,100
1971,B.D. In the Mountains and on the Seaside,"Action,Comedy,Crime",8.6,1572,100
1971,B.D. In Alert,"Action,Comedy",8.7,1550,95
1971,Hedgehogs Are Born Without Spines,"Comedy,Family",8.6,344,84
1972,S detza na more,"Comedy,Drama",8.7,791,80
1974,Sherekilebi,"Comedy,Musical",8.9,850,80
1975,The Chaos Class,"Comedy,Drama",9.4,33953,87
1975,Actorul si salbaticii,"Comedy,Drama,Family",8.7,643,150
1976,Tosun Pasa,"Comedy,History",9,19289,90
1976,The Foster Brothers,"Comedy,Family,Mystery",9,16875,80
1976,The Chaos Class Failed the Class,Comedy,9,19703,91
1976,Operation 'The Monster',Comedy,8.7,1185,102
1977,"Saban, Son of Saban","Comedy,Crime,Mystery",8.8,14555,90
1977,The Chaos Class Is on Vacation,"Adventure,Comedy,Drama",8.7,14801,97
1977,The King of the Street Cleaners,"Comedy,Romance",8.7,16568,80
1977,The Chaos Class Is Waking Up,Comedy,8.8,16382,94
1978,"Feyzo, the Polite One","Comedy,Romance",8.7,12934,83
1978,Happy Days,"Comedy,Drama,Family",8.8,8412,92
1978,Toplo,Comedy,8.6,914,97
1979,Gol Maal,"Comedy,Romance",8.6,15723,120
1979,The Hedgehogs' War,Comedy,9,700,99
1980,Heerak Rajar Deshe,"Comedy,Drama,Thriller",8.8,1817,118
1980,Who's Singin' Over There?,"Adventure,Comedy,Drama",8.9,12585,86
1981,Thillu Mullu,Comedy,8.6,2510,136
1981,A Nameless Band,"Comedy,Drama,Music",8.9,1873,112
1981,A Limousine the Colour of Midsummer's Eve,"Comedy,Drama",8.7,959,84
1982,The Marathon Family,"Comedy,Drama",9,13121,92
1983,"Blue Mountains, or Unbelievable Story","Comedy,Drama",8.9,1416,97
1983,Gospodin za edin den,"Comedy,Drama",8.7,1018,87
1984,Opasen char,"Comedy,Thriller",8.9,1440,90
1984,The Elusive Summer of '68,"Comedy,Drama,Romance",8.6,4194,91
1984,Balkan Spy,"Comedy,Drama",8.9,9392,95
1985,The Broken Landlord,"Comedy,Drama",8.7,12206,101
1987,Aha Naa Pellanta,Comedy,8.9,2121,147
1987,Pushpak,"Comedy,Romance",8.7,2935,125
1987,Nadodikkattu,Comedy,8.8,3381,158
1988,Ashi Hi Banwa Banwi,Comedy,8.8,723,137
1988,Chithram,"Comedy,Drama,Musical",8.6,3728,159
1990,In Harihar Nagar,"Comedy,Crime,Mystery",8.6,2595,133
1991,Sandesham,"Comedy,Drama",8.9,2818,138
1991,Kilukkam,"Comedy,Family",8.6,2780,155
1993,Manichitrathazhu,"Comedy,Horror,Musical",8.6,6851,169
1995,Decak iz Junkovca,"Comedy,Documentary,Mystery",8.6,170,
1996,"Pretty Village, Pretty Flame","Comedy,Drama,History",8.7,13329,115
1997,Life Is Beautiful,"Comedy,Drama,Romance",8.6,558218,116
1998,Barking at the Stars,"Comedy,Romance",8.7,5891,95
2000,A Dog's Will,"Adventure,Comedy",8.6,9210,104
2001,Nuvvu Naaku Nachchav,"Comedy,Family,Musical",8.7,2988,184
2003,Anbe Sivam,"Adventure,Comedy,Drama",8.8,13168,160
2007,Sikuru Hathe,Comedy,8.7,474,
2009,Govt. vs Green,"Biography,Comedy,Crime",8.8,173,28
2009,Constantin si Elena,"Comedy,Documentary,Family",8.8,296,102
2011,Mr. Plinkett's Indiana Jones and the Kingdom of the Crystal Skull Review,Comedy,8.7,422,70
2012,Jurisdiction,"Action,Comedy,Documentary",9.4,114,50
2012,The Rakugo Movie,"Comedy,Crime,Drama",8.6,688,110
2013,CM101MMXI Fundamentals,"Comedy,Documentary",9.2,41714,139
2013,Twelfth Night,Comedy,8.9,179,176
2014,Erra Buss,"Comedy,Drama",9.1,523,140
2014,The Weight of Chains 2,"Comedy,Documentary,History",9.2,1017,124
2014,Limo Ride,"Comedy,Documentary",8.7,101,83
2015,Mosagallaku Mosagadu,"Action,Comedy,Crime",8.6,600,127
2015,National Theatre Live: Man and Superman,"Comedy,Drama",8.6,108,220
2017,Avec l'amour,"Comedy,Documentary,Drama",9.3,182,67
2017,Innocent,Comedy,9,669,88
2017,Mr. Rudolpho's Jubilee,"Comedy,Music,Musical",8.9,198,110
2017,The Last Guest,"Adventure,Comedy,Crime",8.6,666,90
2018,An Hour to Kill,"Action,Comedy,Horror",8.6,2312,96
2018,For Good Old Times,"Comedy,Drama",8.6,1616,105
2018,Spiele mit Bart: The Movie feat. Night Trap,Comedy,8.8,207,119
2018,Yowis Ben,"Comedy,Drama",9,3008,99
2018,Ananthu V/S Nusrath,"Comedy,Drama,Family",9.5,812,149
2018,10 Days Before the Wedding,"Comedy,Drama,Musical",9.3,361,120
2019,Agent Sai Srinivasa Athreya,"Action,Comedy,Crime",8.9,947,148
2019,An International Local Story,"Comedy,Family",8.8,820,123
2019,Kumbalangi Nights,"Comedy,Drama,Romance",8.7,2899,135
2019,"My Friend, Tucker","Comedy,Drama",8.9,263,76
2019,Breaking Barbi,Comedy,8.6,1034,90
2019,Unda,"Action,Comedy,Thriller",8.8,1380,130
2019,Once Upon a Time ... in Hollywood,"Comedy,Drama",9.5,8434,161
2019,Parasite,"Comedy,Drama,Thriller",8.6,7093,132
2019,Yeh Suhaagraat Impossible,Comedy,9.5,632,92
